"Stratum"	"PSU"	"EDSU"	"Layer"	"Channel"	"Cruise"	"EffectiveLogDistance"	"DateTime"	"Longitude"	"Latitude"
"46H0"	"PSU028"	"BIAS_2018_SWE/2018-10-09T00:01:50.000Z"	"WaterColumn"	"10_162.7"	"BIAS_2018_SWE"	1	2018-10-09T00:01:00Z	20.45157	58.72535
"46H0"	"PSU029"	"BIAS_2018_SWE/2018-10-09T00:07:56.000Z"	"WaterColumn"	"10_161.7"	"BIAS_2018_SWE"	1	2018-10-09T00:07:00Z	20.48385	58.72556
"46H0"	"PSU030"	"BIAS_2018_SWE/2018-10-09T00:14:02.000Z"	"WaterColumn"	"10_164.1"	"BIAS_2018_SWE"	1	2018-10-09T00:14:00Z	20.51615	58.72528
"46H0"	"PSU031"	"BIAS_2018_SWE/2018-10-09T00:20:14.000Z"	"WaterColumn"	"10_159.9"	"BIAS_2018_SWE"	1	2018-10-09T00:20:00Z	20.54836	58.72504
"46H0"	"PSU032"	"BIAS_2018_SWE/2018-10-09T00:29:08.000Z"	"WaterColumn"	"10_153.7"	"BIAS_2018_SWE"	1	2018-10-09T00:29:00Z	20.57198	58.71808
"46H0"	"PSU033"	"BIAS_2018_SWE/2018-10-09T00:41:09.000Z"	"WaterColumn"	"10_152.8"	"BIAS_2018_SWE"	1	2018-10-09T00:41:00Z	20.57657	58.70154
"46H0"	"PSU034"	"BIAS_2018_SWE/2018-10-09T00:53:27.000Z"	"WaterColumn"	"10_148.7"	"BIAS_2018_SWE"	1	2018-10-09T00:53:00Z	20.57703	58.68481
"46H0"	"PSU035"	"BIAS_2018_SWE/2018-10-09T01:05:47.000Z"	"WaterColumn"	"10_135.5"	"BIAS_2018_SWE"	1	2018-10-09T01:05:00Z	20.57575	58.66806
"46H0"	"PSU036"	"BIAS_2018_SWE/2018-10-09T01:16:20.000Z"	"WaterColumn"	"10_120.1"	"BIAS_2018_SWE"	1	2018-10-09T01:16:00Z	20.57511	58.65139
"46H0"	"PSU037"	"BIAS_2018_SWE/2018-10-09T01:26:55.000Z"	"WaterColumn"	"10_110.8"	"BIAS_2018_SWE"	1	2018-10-09T01:26:00Z	20.57651	58.63465
"46H0"	"PSU038"	"BIAS_2018_SWE/2018-10-09T01:38:19.000Z"	"WaterColumn"	"10_103.1"	"BIAS_2018_SWE"	1	2018-10-09T01:38:00Z	20.5779	58.61789
"46H0"	"PSU039"	"BIAS_2018_SWE/2018-10-09T01:51:31.000Z"	"WaterColumn"	"10_115.6"	"BIAS_2018_SWE"	1	2018-10-09T01:51:00Z	20.57954	58.60128
"46H0"	"PSU040"	"BIAS_2018_SWE/2018-10-09T02:02:37.000Z"	"WaterColumn"	"10_129.1"	"BIAS_2018_SWE"	1	2018-10-09T02:02:00Z	20.55839	58.58883
"46H0"	"PSU041"	"BIAS_2018_SWE/2018-10-09T02:12:32.000Z"	"WaterColumn"	"10_60"	"BIAS_2018_SWE"	1	2018-10-09T02:12:00Z	20.55833	58.57212
"46H0"	"PSU042"	"BIAS_2018_SWE/2018-10-09T02:25:25.000Z"	"WaterColumn"	"10_72.1"	"BIAS_2018_SWE"	1	2018-10-09T02:25:00Z	20.56153	58.55547
"46H0"	"PSU043"	"BIAS_2018_SWE/2018-10-09T02:38:29.000Z"	"WaterColumn"	"10_129.3"	"BIAS_2018_SWE"	1	2018-10-09T02:38:00Z	20.53285	58.55252
"46H0"	"PSU044"	"BIAS_2018_SWE/2018-10-09T02:50:04.000Z"	"WaterColumn"	"10_102.4"	"BIAS_2018_SWE"	1	2018-10-09T02:50:00Z	20.50096	58.55122
