"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"Sample"	"CatchFractionWeight"	"CatchFractionCount"	"SampleWeight"	"SampleCount"
"1999002/4/1999/1024/2"	"25"	"80010"	"arktisk knurrulke/644643/127207/NA"	"17"	"1999002/4/1999/1024/2-25-80010-arktisk knurrulke/644643/127207/NA-17"	0.013	3	NA	NA
"1999002/4/1999/1024/2"	"25"	"80010"	"dypvannsreke/96967/107649/NA"	"18"	"1999002/4/1999/1024/2-25-80010-dypvannsreke/96967/107649/NA-18"	11.7	NA	NA	NA
"1999002/4/1999/1024/2"	"25"	"80010"	"flekksteinbit/171342/126759/NA"	"12"	"1999002/4/1999/1024/2-25-80010-flekksteinbit/171342/126759/NA-12"	12.75	3	5.1	1
"1999002/4/1999/1024/2"	"25"	"80010"	"gapeflyndre/172877/127137/NA"	"14"	"1999002/4/1999/1024/2-25-80010-gapeflyndre/172877/127137/NA-14"	61.65	395	12.32	79
"1999002/4/1999/1024/2"	"25"	"80010"	"hyse/164744/126437/NA"	"5"	"1999002/4/1999/1024/2-25-80010-hyse/164744/126437/NA-5"	32.05	125	12.82	50
"1999002/4/1999/1024/2"	"25"	"80010"	"hyse/164744/126437/NA"	"6"	"1999002/4/1999/1024/2-25-80010-hyse/164744/126437/NA-6"	31.3	1488	1.62	77
"1999002/4/1999/1024/2"	"25"	"80010"	"kloskate/564149/105865/NA"	"15"	"1999002/4/1999/1024/2-25-80010-kloskate/564149/105865/NA-15"	0.235	NA	NA	NA
"1999002/4/1999/1024/2"	"25"	"80010"	"krokulke/167208/127193/NA"	"9"	"1999002/4/1999/1024/2-25-80010-krokulke/167208/127193/NA-9"	0.025	5	NA	NA
"1999002/4/1999/1024/2"	"25"	"80010"	"lodde/162035/126735/NA"	"2"	"1999002/4/1999/1024/2-25-80010-lodde/162035/126735/NA-2"	0.055	3	0.022	1
"1999002/4/1999/1024/2"	"25"	"80010"	"nordlig ringbuk/167522/127212/NA"	"10"	"1999002/4/1999/1024/2-25-80010-nordlig ringbuk/167522/127212/NA-10"	0.063	3	NA	NA
"1999002/4/1999/1024/2"	"25"	"80010"	"rognkjeks/167612/127214/NA"	"11"	"1999002/4/1999/1024/2-25-80010-rognkjeks/167612/127214/NA-11"	5.5	3	2.2	1
"1999002/4/1999/1024/2"	"25"	"80010"	"torsk/164712/126436/NA"	"3"	"1999002/4/1999/1024/2-25-80010-torsk/164712/126436/NA-3"	103.35	390	41.34	156
"1999002/4/1999/1024/2"	"25"	"80010"	"torsk/164712/126436/NA"	"4"	"1999002/4/1999/1024/2-25-80010-torsk/164712/126436/NA-4"	18.25	1052	2.22	128
"1999002/4/1999/1024/2"	"25"	"80010"	"tverrhalet langebarn/171603/127072/NA"	"13"	"1999002/4/1999/1024/2-25-80010-tverrhalet langebarn/171603/127072/NA-13"	0.003	3	NA	NA
"1999002/4/1999/1024/2"	"25"	"80010"	"vanlig ålebrosme/631144/274100/NA"	"16"	"1999002/4/1999/1024/2-25-80010-vanlig ålebrosme/631144/274100/NA-16"	0.1	5	NA	NA
"1999002/4/1999/1024/2"	"25"	"80010"	"vanlig uer/166781/151324/NA"	"8"	"1999002/4/1999/1024/2-25-80010-vanlig uer/166781/151324/NA-8"	1.1	5	0.44	2
"1999002/4/1999/1024/2"	"25"	"80010"	"øyepål/164756/126444/NA"	"7"	"1999002/4/1999/1024/2-25-80010-øyepål/164756/126444/NA-7"	0.188	8	0.075	3
"1999002/4/1999/1024/2"	"26"	"80011"	"sild'G03/161722.G03/126417/NA"	"1"	"1999002/4/1999/1024/2-26-80011-sild'G03/161722.G03/126417/NA-1"	0.07	4	0.07	4
"1999002/4/1999/1024/2"	"26"	"80011"	"flekksteinbit/171342/126759/NA"	"6"	"1999002/4/1999/1024/2-26-80011-flekksteinbit/171342/126759/NA-6"	2.37	1	2.37	1
"1999002/4/1999/1024/2"	"26"	"80011"	"gapeflyndre/172877/127137/NA"	"7"	"1999002/4/1999/1024/2-26-80011-gapeflyndre/172877/127137/NA-7"	46.52	398	11.68	100
"1999002/4/1999/1024/2"	"26"	"80011"	"hyse/164744/126437/NA"	"4"	"1999002/4/1999/1024/2-26-80011-hyse/164744/126437/NA-4"	14.68	197	14.68	197
"1999002/4/1999/1024/2"	"26"	"80011"	"kloskate/564149/105865/NA"	"8"	"1999002/4/1999/1024/2-26-80011-kloskate/564149/105865/NA-8"	9.52	11	NA	NA
"1999002/4/1999/1024/2"	"26"	"80011"	"lodde/162035/126735/NA"	"2"	"1999002/4/1999/1024/2-26-80011-lodde/162035/126735/NA-2"	0.025	1	0.025	1
"1999002/4/1999/1024/2"	"26"	"80011"	"torsk/164712/126436/NA"	"3"	"1999002/4/1999/1024/2-26-80011-torsk/164712/126436/NA-3"	193.76	289	134.275	200
"1999002/4/1999/1024/2"	"26"	"80011"	"vanlig ålebrosme/631144/274100/NA"	"9"	"1999002/4/1999/1024/2-26-80011-vanlig ålebrosme/631144/274100/NA-9"	0.215	6	NA	NA
"1999002/4/1999/1024/2"	"26"	"80011"	"vanlig uer/166781/151324/NA"	"5"	"1999002/4/1999/1024/2-26-80011-vanlig uer/166781/151324/NA-5"	0.34	1	0.34	1
"1999002/4/1999/1024/2"	"27"	"80012"	"sild'G03/161722.G03/126417/NA"	"1"	"1999002/4/1999/1024/2-27-80012-sild'G03/161722.G03/126417/NA-1"	1.505	87	1.505	87
