Cruise,Header,CruiseSurvey,CruiseCountry,CruiseOrganisation,CruisePlatform,CruiseStartDate,CruiseEndDate,CruiseLocalID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise,Record,IESNS,NO,612,58KC,2021-04-30,2021-05-31,2021456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Header,HaulGear,HaulNumber,HaulStationName,HaulStartTime,HaulDuration,HaulValidity,HaulStartLatitude,HaulStartLongitude,HaulStopLatitude,HaulStopLongitude,HaulStatisticalRectangle,HaulMinTrawlDepth,HaulMaxTrawlDepth,HaulBottomDepth,HaulDistance,HaulNetopening,HaulCodendMesh,HaulSweepLength,HaulGearExceptions,HaulDoorType,HaulWarpLength,HaulWarpDiameter,HaulWarpDensity,HaulDoorSurface,HaulDoorWeight,HaulDoorSpread,HaulWingSpread,HaulBuoyancy,HaulKiteArea,HaulGroundRopeWeight,HaulRigging,HaulTickler,HaulTowDirection,HaulSpeedGround,HaulSpeedWater,HaulWindDirection,HaulWindSpeed,HaulSwellDirection,HaulSwellHeight,HaulLogDistance,HaulStratum,CruiseLocalID,HaulHydrographicStationID
Catch,Record,CAM,22402,1128,1,R,1,2483,kg,0.38,,,,0,,,,,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,CAM,22402,105913,1,R,1,1,kg,0.255,,1,1,0.255,,,E,1,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,CAM,22402,127312,1,R,1,13,kg,0.065,,,,0,,,,,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,CAM,22402,125498,1,R,1,6,kg,8e-04,,,,0,,,,,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22403,127186,1,R,1,1,kg,0.937,,1,1,0.937,,,I,1,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22403,127023,1,R,1,961,kg,289,,90,10.6777777777778,27.078,,,F,90,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22403,127023,2,R,1,10,kg,3.018,,10,1,3.018,,,F,10,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22403,126417,1,R,1,28,kg,6.002,,28,1,6.002,,,E,28,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22403,127214,1,R,1,1,kg,3.05,,1,1,3.05,,,E,1,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22403,126439,1,R,1,58,kg,2.569,,58,1,2.569,,,E,58,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
